OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jul 14 2021 09:54:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.639999986,-0.300000012,-2937.830078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,ACi_yermohab_sage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
Remark=,"""10:13:58 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:21:29 Fs=155 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:21:29 RF#1 8032 um, Fmax=210 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:21:30 Fm'=210""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:21:38 Dark#1 Fmin=114 Dur=6 FarRed=8 Pre=1 Post=4 Mod=0.25 Filter=5""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:21:38 Fo'=114""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:21:38,1652.999969,0,4.680995801,0.079157533,287.4019533,1,1,0,0,114.1103516,210.3460541,155.4945221,#DIV/0!,0.457511328,0.260768058,-1,0.87,0.92,10.18180466,0.875090902,0.006491051,0.569970713,1.843356463,-1,999.9810791,0.5,114.0957187,1.9744456,1.953979166,25.02733994,2,4.644859791,1,9.289719582,25.83451462,25.02733994,25.87298203,400.0852966,396.4542236,14.11664963,15.40859318,33.74935532,36.83795547,300.9453735,1000.129578,1259.460327,79.88301849,-0.500711024,-0.340350986,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504726868,0.001974446,298.1773399,298.9845146,160.0207288,0.32860235,3.1848641,39.8691006,24.46050742,25.43092728,3.262291097,0.078488732,1.230884934,2.031406164,0.04911511,22.95853555,0.724930991,37.43715562,395.7739723,0.00442786,0,875.2042945,96.23570251,0.260768058,#DIV/0!
Remark=,"""10:21:39 CO2 Mixer: CO2R -> 100 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:29:10 Fs=150 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:29:10 RF#2 8013 um, Fmax=191 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:29:11 Fm'=191""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:29:19 Dark#2 Fmin=111 Dur=6 FarRed=8 Pre=1 Post=4 Mod=0.25 Filter=5""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:29:19 Fo'=111""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10:29:19,2114.499937,0,0.482055115,0.097233205,87.58771073,2,2,0,0,111.5224609,191.9244843,150.7859497,#DIV/0!,0.418925306,0.214347506,-1,0.87,0.92,10.18180466,0.875090902,0.001695748,0.511660439,1.720949149,-1,998.9240723,0.5,93.68586844,2.463984305,1.986634123,25.57417679,2,4.644859791,1,9.289719582,26.43998146,25.57417679,26.4850769,99.89944458,99.41622162,14.7074337,16.31843758,33.9244957,37.6394043,300.9025574,998.7338867,1286.829834,79.88091278,-0.500711024,-0.340350986,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504512787,0.002463984,298.7241768,299.5899815,159.7974183,0.24427074,3.290165812,41.18838528,24.8699477,26.00707912,3.375672158,0.096226031,1.303531689,2.072140469,0.060230954,6.996586281,0.881020313,38.47543238,99.34616844,0.001866935,0,873.9829381,80.40202332,0.214347506,#DIV/0!
Remark=,"""10:29:21 CO2 Mixer: CO2R -> 50 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:36:52 Fs=149 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:36:52 RF#3 8000 um, Fmax=191 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:36:53 Fm'=191""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:37:01 Dark#3 Fmin=109 Dur=6 FarRed=8 Pre=1 Post=4 Mod=0.25 Filter=5""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:37:01 Fo'=109""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10:37:01,2577.499905,0,-0.741706448,0.121498641,58.24094841,3,3,0,0,109.6994629,191.4496002,149.7819214,#DIV/0!,0.427006049,0.21764307,-1,0.87,0.92,10.18180466,0.875090902,0.000295722,0.509695521,1.745219121,-1,998.1080322,0.5,95.04856577,3.085678599,1.994448467,25.90011406,2,4.644859791,1,9.289719582,26.95819092,25.90011406,26.99729347,50.2110939,50.60026932,15.0097723,17.02562714,33.58058929,38.08900833,300.9287109,998.1068115,1331.293823,79.8747406,-0.500711024,-0.340350986,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504643555,0.003085679,299.0501141,300.1081909,159.6970863,0.143354979,3.354366018,41.99532909,24.96970195,26.42915249,3.460901791,0.119930096,1.359917551,2.10098424,0.075095673,4.651980647,1.151000759,39.52466543,50.70805553,-0.005781271,0,873.4341903,81.75013733,0.21764307,#DIV/0!
Remark=,"""10:37:03 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:44:34 Fs=154 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:44:34 RF#4 7974 um, Fmax=230 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:44:35 Fm'=230""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:44:43 Dark#4 Fmin=118 Dur=6 FarRed=8 Pre=1 Post=4 Mod=0.25 Filter=5""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:44:43 Fo'=118""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10:44:43,3039.999873,0,8.421040621,0.131683023,275.5046909,4,4,0,0,118.1447754,230.9490814,154.3476868,#DIV/0!,0.488437994,0.33168088,-1,0.87,0.92,10.1334362,0.875066718,0.010751638,0.679064456,1.954797245,-1,1001.383057,0.5,145.3221609,3.473056146,2.071243966,26.48786354,2,4.644859791,1,9.289719582,27.66507912,26.48786354,27.75399399,399.8541565,393.3492737,15.2810154,17.54881859,32.79938889,37.66621399,300.9174805,1001.343445,1370.331055,79.87210083,-0.500711024,-0.340350986,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504587402,0.003473056,299.6378635,300.8150791,160.2149476,0.083011513,3.472904974,43.48082669,25.9320081,27.07647133,3.5952665,0.129842488,1.401661008,2.193605493,0.081314933,22.00513845,0.70040727,39.34253947,392.1255118,0.008448956,0,876.242322,112.804306,0.33168088,#DIV/0!
Remark=,"""10:44:45 CO2 Mixer: CO2R -> 800 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:52:16 Fs=166 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:52:16 RF#5 7977 um, Fmax=258 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:52:17 Fm'=258""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:52:25 Dark#5 Fmin=124 Dur=6 FarRed=8 Pre=1 Post=4 Mod=0.25 Filter=5""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:52:25 Fo'=124""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10:52:25,3502.999841,0,11.06351385,0.120528877,611.2470907,5,5,0,0,124.1999512,258.7068176,166.0575256,#DIV/0!,0.519920069,0.358124663,-1,0.87,0.92,10.1334362,0.875066718,0.013763721,0.688807155,2.082986468,-1,1001.626648,0.5,156.9463688,3.277768809,2.13217663,26.80698586,2,4.644859791,1,9.289719582,27.95901108,26.80698586,28.04770279,799.6575928,790.5817871,15.47054768,17.61077499,32.64066315,37.15646744,300.9067993,1001.605713,1396.177979,79.87207794,-0.500711024,-0.340350986,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504533997,0.003277769,299.9569859,301.1090111,160.2569105,0.116555085,3.538785823,44.30566869,26.6948937,27.38299847,3.660465751,0.118985112,1.406609193,2.253856558,0.074502869,48.82157527,0.773161108,38.61985452,788.9740159,0.005415531,0,876.471824,134.5068665,0.358124663,#DIV/0!
Remark=,"""10:52:27 CO2 Mixer: CO2R -> 1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:59:58 Fs=172 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:59:58 RF#6 7958 um, Fmax=281 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:59:59 Fm'=281""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:00:07 Dark#6 Fmin=126 Dur=6 FarRed=8 Pre=1 Post=4 Mod=0.25 Filter=5""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:00:07 Fo'=126""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11:00:07,3965.99981,0,9.218534873,0.090393413,977.4183469,6,6,0,0,126.7998047,281.9010315,172.3226013,#DIV/0!,0.550197443,0.388712413,-1,0.87,0.92,10.1334362,0.875066718,0.011672493,0.706496218,2.223197679,-1,1000.496399,0.5,170.1590726,2.58064525,2.229834028,27.218853,2,4.644859791,1,9.289719582,28.13814926,27.218853,28.22866249,1200.07959,1191.908203,15.78952503,17.47475624,32.96403503,36.48327255,300.914093,1000.423401,1416.083984,79.86322021,-0.500711024,-0.340350986,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504570465,0.002580645,300.368853,301.2881493,160.0677406,0.227798159,3.625424334,45.39541887,27.92066263,27.67850113,3.724294565,0.089522318,1.395590306,2.328704259,0.056029065,78.05977668,0.820044987,37.11030394,1190.568548,0.002873439,0,875.4372221,155.1012268,0.388712413,#DIV/0!
Remark=,"""11:00:09 CO2 Mixer: CO2R -> 1600 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:40 Fs=177 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:40 RF#7 7945 um, Fmax=296 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:41 Fm'=296""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:49 Dark#7 Fmin=129 Dur=6 FarRed=8 Pre=1 Post=4 Mod=0.25 Filter=5""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:49 Fo'=129""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11:07:49,4428.499778,0,5.860201654,0.059645488,1363.273785,7,7,0,0,129.607666,296.9864197,177.316452,#DIV/0!,0.563590597,0.402947609,-1,0.87,0.92,10.1334362,0.875066718,0.00784265,0.714965102,2.291426339,-1,999.8120728,0.5,176.2698887,1.829080951,2.385815706,27.77963257,2,4.644859791,1,9.289719582,28.54223824,27.77963257,28.64711189,1600.127686,1594.294922,15.84226608,17.03717041,32.30265427,34.73997879,300.9309692,999.6152954,1438.882935,79.85746765,-0.500711024,-0.340350986,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504654846,0.001829081,300.9296326,301.6922382,159.9384437,0.35237301,3.746360991,46.91309531,29.8759249,28.1609354,3.830588841,0.059264972,1.360545285,2.470043556,0.037074607,108.8675922,0.855095106,34.63259519,1593.443306,0.001273682,0,874.7300759,167.3787537,0.402947609,#DIV/0!
Remark=,"""11:07:51 CO2 Mixer: CO2R -> 2000 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:15:22 Fs=182 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:15:22 RF#8 7917 um, Fmax=308 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:15:23 Fm'=308""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
